petal area,sepal area,species
0.28,17.85,Iris-setosa
0.28,14.7,Iris-setosa
0.26,15.04,Iris-setosa
0.3,14.26,Iris-setosa
0.28,18.0,Iris-setosa
0.68,21.06,Iris-setosa
0.42,15.64,Iris-setosa
0.3,17.0,Iris-setosa
0.28,12.76,Iris-setosa
0.15,15.19,Iris-setosa
0.3,19.98,Iris-setosa
0.32,16.32,Iris-setosa
0.14,14.4,Iris-setosa
0.11,12.9,Iris-setosa
0.24,23.2,Iris-setosa
0.6,25.08,Iris-setosa
0.52,21.06,Iris-setosa
0.42,17.85,Iris-setosa
0.51,21.66,Iris-setosa
0.45,19.38,Iris-setosa
0.34,18.36,Iris-setosa
0.6,18.87,Iris-setosa
0.2,16.56,Iris-setosa
0.85,16.83,Iris-setosa
0.38,16.32,Iris-setosa
0.32,15.0,Iris-setosa
0.64,17.0,Iris-setosa
0.3,18.2,Iris-setosa
0.28,17.68,Iris-setosa
0.32,15.04,Iris-setosa
0.32,14.88,Iris-setosa
0.6,18.36,Iris-setosa
0.15,21.32,Iris-setosa
0.28,23.1,Iris-setosa
0.15,15.19,Iris-setosa
0.24,16.0,Iris-setosa
0.26,19.25,Iris-setosa
0.15,15.19,Iris-setosa
0.26,13.2,Iris-setosa
0.3,17.34,Iris-setosa
0.39,17.5,Iris-setosa
0.39,10.35,Iris-setosa
0.26,14.08,Iris-setosa
0.96,17.5,Iris-setosa
0.76,19.38,Iris-setosa
0.42,14.4,Iris-setosa
0.32,19.38,Iris-setosa
0.28,14.72,Iris-setosa
0.3,19.61,Iris-setosa
0.28,16.5,Iris-setosa
6.58,22.4,Iris-versicolor
6.75,20.48,Iris-versicolor
7.35,21.39,Iris-versicolor
5.2,12.65,Iris-versicolor
6.9,18.2,Iris-versicolor
5.85,15.96,Iris-versicolor
7.52,20.79,Iris-versicolor
3.3,11.76,Iris-versicolor
5.98,19.14,Iris-versicolor
5.46,14.04,Iris-versicolor
3.5,10.0,Iris-versicolor
6.3,17.7,Iris-versicolor
4.0,13.2,Iris-versicolor
6.58,17.69,Iris-versicolor
4.68,16.24,Iris-versicolor
6.16,20.77,Iris-versicolor
6.75,16.8,Iris-versicolor
4.1,15.66,Iris-versicolor
6.75,13.64,Iris-versicolor
4.29,14.0,Iris-versicolor
8.64,18.88,Iris-versicolor
5.2,17.08,Iris-versicolor
7.35,15.75,Iris-versicolor
5.64,17.08,Iris-versicolor
5.59,18.56,Iris-versicolor
6.16,19.8,Iris-versicolor
6.72,19.04,Iris-versicolor
8.5,20.1,Iris-versicolor
6.75,17.4,Iris-versicolor
3.5,14.82,Iris-versicolor
4.18,13.2,Iris-versicolor
3.7,13.2,Iris-versicolor
4.68,15.66,Iris-versicolor
8.16,16.2,Iris-versicolor
6.75,16.2,Iris-versicolor
7.2,20.4,Iris-versicolor
7.05,20.77,Iris-versicolor
5.72,14.49,Iris-versicolor
5.33,16.8,Iris-versicolor
5.2,13.75,Iris-versicolor
5.28,14.3,Iris-versicolor
6.44,18.3,Iris-versicolor
4.8,15.08,Iris-versicolor
3.3,11.5,Iris-versicolor
5.46,15.12,Iris-versicolor
5.04,17.1,Iris-versicolor
5.46,16.53,Iris-versicolor
5.59,17.98,Iris-versicolor
3.3,12.75,Iris-versicolor
5.33,15.96,Iris-versicolor
15.0,20.79,Iris-virginica
9.69,15.66,Iris-virginica
12.39,21.3,Iris-virginica
10.08,18.27,Iris-virginica
12.76,19.5,Iris-virginica
13.86,22.8,Iris-virginica
7.65,12.25,Iris-virginica
11.34,21.17,Iris-virginica
10.44,16.75,Iris-virginica
15.25,25.92,Iris-virginica
10.2,20.8,Iris-virginica
10.07,17.28,Iris-virginica
11.55,20.4,Iris-virginica
10.0,14.25,Iris-virginica
12.24,16.24,Iris-virginica
12.19,20.48,Iris-virginica
9.9,19.5,Iris-virginica
14.74,29.26,Iris-virginica
15.87,20.02,Iris-virginica
7.5,13.2,Iris-virginica
13.11,22.08,Iris-virginica
9.8,15.68,Iris-virginica
13.4,21.56,Iris-virginica
8.82,17.01,Iris-virginica
11.97,22.11,Iris-virginica
10.8,23.04,Iris-virginica
8.64,17.36,Iris-virginica
8.82,18.3,Iris-virginica
11.76,17.92,Iris-virginica
9.28,21.6,Iris-virginica
11.59,20.72,Iris-virginica
12.8,30.02,Iris-virginica
12.32,17.92,Iris-virginica
7.65,17.64,Iris-virginica
7.84,15.86,Iris-virginica
14.03,23.1,Iris-virginica
13.44,21.42,Iris-virginica
9.9,19.84,Iris-virginica
8.64,18.0,Iris-virginica
11.34,21.39,Iris-virginica
13.44,20.77,Iris-virginica
11.73,21.39,Iris-virginica
9.69,15.66,Iris-virginica
13.57,21.76,Iris-virginica
14.25,22.11,Iris-virginica
11.96,20.1,Iris-virginica
9.5,15.75,Iris-virginica
10.4,19.5,Iris-virginica
12.42,21.08,Iris-virginica
9.18,17.7,Iris-virginica
