Setosa,Versicolor,Virginica
4.257933771208754,5.383307533477908,5.98247440445841
3.870400496072725,5.2182372502599,5.034878350069642
3.9115214431215892,5.360970061472084,5.80430874437258
3.8157568056677826,4.224926034855522,5.324471804789654
4.27551166528639,5.0099900199501395,5.67978872846517
4.662617290749907,4.6701177715342475,6.0547502012882415
4.007492981902776,5.320714237769211,4.460941604639093
4.159326868617084,3.880721582386451,5.701754116059373
3.6110940170535577,5.011985634456667,5.214403129793476
3.916631205513228,4.415880433163924,6.416385275215322
4.503332099679081,3.6742346141747673,5.5677643628300215
4.079215610874228,4.898979485566356,5.229722745997153
3.8131351929875237,4.147288270665544,5.6524331044250316
3.606937759374287,4.926459174701441,4.924428900898052
4.841487374764082,4.573838650411709,5.336665625650533
5.067543783727971,5.189412298131649,5.715767664977295
4.645427859734774,4.852834223420372,5.422176684690384
4.274342054632503,4.445222154178573,6.6332495807108
4.708502946797421,4.515528761950255,5.990826320300064
4.453088815642463,4.27668095606862,4.54972526643093
4.324349662087931,5.2459508194416005,5.932115979985556
4.412482294582042,4.720169488482378,5.047771785649585
4.093897898091744,4.806245936279167,5.912698199637793
4.2047592083257275,4.766550115125193,5.082322303829225
4.08656334834051,4.914264950122246,5.837807807730569
3.9140771581561853,5.095095681142799,5.817215828899595
4.2,5.075431016179808,5.0990195135927845
4.301162633521313,5.347896782848375,5.207686626516615
4.237924020083418,4.914264950122246,5.447935388750494
3.919183588453085,4.280186911806539,5.556977595779922
3.898717737923586,4.168932717135166,5.684188596448926
4.354308211415448,4.110960958218893,6.543699259593154
4.633573135281238,4.509988913511872,5.499090833947008
4.835286961494633,4.935585071701226,5.028916384272063
3.916631205513228,4.790615826801393,4.868264577855234
4.029888335921977,5.253570214625479,6.09343909463285
4.4170125650715555,5.274466797696237,5.904235767650205
3.916631205513228,4.495553358597805,5.453439281774393
3.6687872655688283,4.70425339453563,5.1613951602255765
4.2,4.3531597719357835,5.721013896155122
4.2296571965113205,4.424929377967517,5.848931526355904
3.277193921634788,4.973932046178356,5.754997827975264
3.7868192457522976,4.458699361921591,5.034878350069642
4.296510211788167,3.847076812334269,5.943904440685432
4.487761134463375,4.536518488885502,6.029925372672534
3.8496753109840314,4.705316142407437,5.662155066756826
4.43846820423443,4.689349635077342,5.024937810560445
3.872983346207417,4.854894437575342,5.468089245796926
4.462062303464621,4.006245124802026,5.787918451395113
4.096339829652808,4.6141087980237305,5.184592558726288
